Designator,Footprint,Quantity,Value,LCSC Part #
"C301, C302, C304, C307, C308, C310, C312, C313, C314, C315, C316, C318, C401",0402,13,100nF,C307331
C303,0805,1,10µF,C15850
"C305, C306",0402,2,27pF,C1557
"C309, C311",0402,2,1µF,C52923
"C402, C501, C502, C503, C504, C505, C506, C507, C508",0603,9,10µF,C96446
"D501, D502, D503, D504, D505, D506, D507, D508, D509, D510, D511, D512, D513, D514, D515, D516, D517, D518, D519, D520, D521, D522, D523, D524, D525, D526, D527, D528, D529, D530, D531, D532",Straw_Hat_RGB_left,32,LED_BARG,
"D533, D534, D535, D536, D537, D538, D539, D540, D541, D542, D543, D544, D545, D546, D547, D548, D549, D550, D551, D552, D553, D554, D555, D556, D557, D558, D559, D560, D561, D562, D563, D564",Straw_Hat_RGB_right,32,LED_BARG,
J301,USB_C_7082A,1,USB_C_Receptacle_USB2.0,C3001289
J302,microSD_SMD,1,Micro_SD_Card,C5155564
"Q501, Q502, Q503, Q504, Q505, Q506, Q507, Q508",SOT-23,8,IRLML6401,C2835446
"R301, R308",0402,2,1k,C11702
"R302, R303",0402,2,5k1,C25905
R304,0402,1,do not fit,
"R305, R306",0402,2,27R,C321419
"R307, R309, R311, R312, R313, R401, R402",0402,7,10k,C25744
"R403, R404, R405",0402,3,270,C11702
"R406, R407, R408, R409, R410, R411, R412, R413",0402,8,47k,C25792
SW301,PS-5824SVA-4PN,1,SW_Push_Dual,C5155584
U201,slot,1,~,
"U202, U203",edge_contact,2,~,
"U204, U205, U206, U207",edge_contact_small,4,~,
"U208, U209, U210",JLC_tooling_hole,3,~,
U301,SOT-23-6,1,USBLC6-2SC6,C2687116
U302,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U303,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U304,SO-14_3.9x8.65mm_P1.27mm,1,74AHC04,C86613
U305,ESP01s_SMD,1,ESP01s,C3975149
U401,TQFP48-EP_STM,1,STP24DP05BTR,C157417
U402,SO-16_3.9x9.9mm_P1.27mm,1,74HCT138,C352958
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
