Designator,Mid X,Mid Y,Rotation,Layer
C301,11.395,-18.955,270.0,top
C302,45.13,-28.9875,180.0,top
C303,12.975,-18.155,90.0,top
C304,41.02,-33.5275,270.0,top
C305,34.62,-35.6475,270.0,top
C306,39.98,-35.6575,270.0,top
C307,39.59,-21.9575,270.0,top
C308,42.44,-22.1775,270.0,top
C309,38.53,-21.5075,270.0,top
C310,44.75,-24.6375,270.0,top
C311,43.45,-22.6975,270.0,top
C312,44.54,-22.6875,270.0,top
C313,40.74,-22.1775,270.0,top
C314,34.79,-29.23,0.0,top
C315,34.65,-25.98,0.0,top
C316,25.22,-24.46,0.0,top
C318,-29.48,-28.13,180.0,top
C401,64.49,-21.79,90.0,top
C402,65.8,-22.495,270.0,top
C501,-62.845,-32.2,180.0,top
C502,-59.345,-32.2,180.0,top
C503,-55.845,-32.2,180.0,top
C504,-52.345,-32.2,180.0,top
C505,62.705,-32.2,0.0,top
C506,59.205,-32.2,0.0,top
C507,55.705,-32.2,0.0,top
C508,52.205,-32.2,0.0,top
D501,-69.352892,-35.695608,117.234,top
D502,-71.539825,-31.0814,113.483,top
D503,-73.420167,-26.33399,109.731,top
D504,-74.98586,-21.473723,105.98,top
D505,-76.230194,-16.521428,102.228,top
D506,-77.147835,-11.498329,98.477,top
D507,-77.734851,-6.425952,94.725,top
D508,-77.988728,-1.326037,90.974,top
D509,-77.908375,3.779561,87.222,top
D510,-77.494139,8.868962,83.471,top
D511,-76.747793,13.920354,79.719,top
D512,-75.672537,18.912089,75.968,top
D513,-74.272979,23.822774,72.216,top
D514,-72.555117,28.631364,68.465,top
D515,-70.526312,33.317252,64.713,top
D516,-68.19526,37.860355,60.962,top
D517,-65.571951,42.241204,57.21,top
D518,-62.667626,46.441024,53.459,top
D519,-59.494732,50.441816,49.707,top
D520,-56.066868,54.226435,45.955,top
D521,-52.398724,57.778661,42.204,top
D522,-48.50602,61.083271,38.452,top
D523,-44.405439,64.126102,34.701,top
D524,-40.114553,66.894115,30.949,top
D525,-35.651753,69.375446,27.198,top
D526,-31.036163,71.559462,23.446,top
D527,-26.287565,73.436802,19.695,top
D528,-21.426309,74.999422,15.943,top
D529,-16.473229,76.240624,12.192,top
D530,-11.44955,77.155089,8.44,top
D531,-6.376804,77.738899,4.689,top
D532,-1.276729,77.98955,0.937,top
D533,68.147332,-37.946557,240.89,top
D534,70.484127,-33.406405,244.642,top
D535,72.518855,-28.723086,248.393,top
D536,74.242796,-23.916672,252.14499999999998,top
D537,75.648563,-19.007761,255.89600000000002,top
D538,76.73013,-14.01739,259.648,top
D539,77.482862,-8.966946,263.399,top
D540,77.903534,-3.878073,267.151,top
D541,77.990342,1.22742,270.902,top
D542,77.742915,6.327652,274.654,top
D543,77.162313,11.400767,278.405,top
D544,76.251024,16.425023,282.157,top
D545,75.012953,21.378887,285.908,top
D546,73.453408,26.24113,289.65999999999997,top
D547,71.57907,30.990914,293.411,top
D548,69.397973,35.607884,297.163,top
D549,66.919464,40.072252,300.914,top
D550,64.154165,44.364887,304.666,top
D551,61.113926,48.467391,308.41700000000003,top
D552,57.811778,52.362184,312.169,top
D553,54.261872,56.032573,315.92,top
D554,50.479421,59.462829,319.672,top
D555,46.480636,62.638251,323.423,top
D556,42.282653,65.545231,327.175,top
D557,37.903464,68.17131,330.926,top
D558,33.361835,70.505234,334.678,top
D559,28.677231,72.537,338.429,top
D560,23.869728,74.257903,342.181,top
D561,18.959929,75.660565,345.932,top
D562,13.968875,76.738977,349.684,top
D563,8.917956,77.488516,353.435,top
D564,3.828818,77.90597,357.187,top
J301,8.015,-22.8,90.0,top
J302,-24.5,-24.5,180.0,top
Q501,-62.0,-36.0,90.0,top
Q502,-58.5,-36.0,90.0,top
Q503,-55.0,-36.0,90.0,top
Q504,-51.5,-36.0,90.0,top
Q505,62.0,-36.0,90.0,top
Q506,58.5,-36.0,90.0,top
Q507,55.0,-36.0,90.0,top
Q508,51.5,-36.0,90.0,top
R301,30.62,-25.97,0.0,top
R302,4.765,-24.845,270.0,top
R303,11.865,-20.525,0.0,top
R304,32.64,-25.97,0.0,top
R305,40.8,-20.2375,270.0,top
R306,41.83,-20.2375,270.0,top
R307,42.05,-33.3875,270.0,top
R308,39.99,-33.5275,90.0,top
R309,-16.58,-24.6,180.0,top
R311,-10.44,-24.6,180.0,top
R312,-12.48,-24.6,0.0,top
R313,-14.53,-24.6,180.0,top
R401,48.32,-26.25,0.0,top
R402,46.56,-25.12,180.0,top
R403,64.49,-23.78,270.0,top
R404,63.33,-23.79,270.0,top
R405,61.72,-24.26,0.0,top
R406,-61.56,-33.5,0.0,top
R407,-58.06,-33.5,0.0,top
R408,-54.56,-33.5,0.0,top
R409,-51.06,-33.5,0.0,top
R410,62.44,-33.5,0.0,top
R411,58.94,-33.5,0.0,top
R412,55.44,-33.5,0.0,top
R413,51.94,-33.5,0.0,top
SW301,25.07,-15.81,0.0,top
U201,0.0,-15.0,90.0,top
U202,-19.5,-45.0,0.0,top
U203,-57.0,-45.0,0.0,top
U204,62.0,-45.0,0.0,top
U205,24.5,-45.0,0.0,top
U206,14.5,-45.0,0.0,top
U207,52.0,-45.0,0.0,top
U208,0.0,82.0,0.0,top
U209,57.0,-42.0,0.0,top
U210,-57.0,-42.0,0.0,top
U301,13.5975,-22.8,180.0,top
U302,30.92,-22.545,90.0,top
U303,40.0,-28.0,90.0,top
U304,24.31,-32.705,90.0,top
U305,-12.53,-19.0,0.0,top
U401,58.95991,-18.104962,315.0,top
U402,-58.205,-26.075,90.0,top
Y301,37.29,-35.5875,0.0,top
