Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.12,-54.02,180.0,top
C10,-52.4,20.35,347.0,top
C11,-52.764348,18.746296,167.0,top
C12,-15.53,52.51,270.0,top
C13,51.687,5.728,275.3,top
C14,-50.56,-9.37,270.0,top
C15,57.827949,4.632454,5.0,top
C16,-13.37,50.69,270.0,top
C17,57.688568,6.21572,5.5,top
C2,-38.622983,-37.432983,225.0,top
C3,15.267,54.612,180.0,top
C4,52.102,9.825,190.7,top
C5,51.045,11.698,192.9,top
C6,52.168,-10.416,180.0,top
C7,52.168,-8.198,180.0,top
C8,17.431,53.847,270.0,top
C9,52.24,-15.1,180.0,top
D1,52.34,-12.93,180.0,top
D3,-55.66,-7.61,180.0,top
J1,-60.32,0.0,270.0,top
L1,-29.23,-44.04,327.0,top
L3,54.786,-2.158,270.0,top
M1,50.506953,-20.163472,339.0,top
Q1,-21.08,-50.13,180.0,top
Q2,-13.56,-51.264611,180.0,top
Q3,48.114,24.515,207.0,top
Q4,36.482,39.813,227.5,top
Q5,32.12,43.408,233.5,top
Q6,51.908,14.884,196.0,top
Q7,50.243,19.791,201.5,top
Q8,40.129,36.133,222.0,top
R1,-35.4,-38.98,237.0,top
R10,-52.48,-5.1,0.0,top
R11,-52.61,-8.33,0.0,top
R12,-53.35,4.82,90.0,top
R13,48.26708,27.574542,207.0,top
R14,57.194,7.541,5.5,top
R15,29.586,44.016,233.5,top
R16,35.599,42.783,47.5,top
R17,30.76336,45.611967,233.5,top
R18,50.298,16.916,196.0,top
R19,57.792,2.65,92.5,top
R2,52.182,17.462,196.0,top
R20,48.448,21.662,201.5,top
R21,-50.94,5.41,0.0,top
R22,-52.045,-6.99,180.0,top
R23,-50.13,-5.2,270.0,top
R24,37.79,37.26,222.0,top
R25,50.272,22.381,201.5,top
R3,52.096,23.107,201.5,top
R4,12.59,50.06,262.4,top
R5,14.711,55.936,180.0,top
R6,39.25,38.59,222.0,top
R7,46.14,26.201,207.0,top
R8,15.923,52.611,180.0,top
R9,34.041551,40.697011,227.5,top
SW1,6.542725,49.516429,352.621,top
SW2,-6.543725,49.516429,7.379,top
SW3,-52.493286,12.048968,167.0,top
U1,-34.01,-36.57,0.0,top
U10,-20.05,51.22,0.0,top
U11,-51.1225,0.0,180.0,top
U12,-30.0,45.0,0.0,top
U13,-52.0,-21.0,0.0,top
U2,-31.0,-36.33,0.0,top
U3,-2.0,-26.0,0.0,top
U4,-2.0,-48.0,0.0,top
U5,2.0,-26.0,0.0,top
U6,2.0,-48.0,0.0,top
U7,22.266939,49.159317,335.0,top
U8,54.335,5.12,275.3,top
U9,30.0,-45.0,0.0,top
