Designator,Mid X,Mid Y,Rotation,Layer
C101,7.5,-26.0,270.0,top
C102,-7.5,-26.0,270.0,top
C103,-18.0,-12.0,180.0,top
C104,18.0,-11.323,0.0,top
C105,-15.396,7.953,90.0,top
C106,15.31,9.133,270.0,top
C107,-19.191,12.939,0.0,top
C108,19.191,12.939,180.0,top
C109,-19.366,6.963,0.0,top
C110,-19.366,5.863,0.0,top
C111,19.366,5.563,180.0,top
C112,19.366,6.963,180.0,top
C113,-17.266,15.363,180.0,top
C114,17.266,15.363,0.0,top
C115,-17.266,17.863,180.0,top
C116,17.266,17.863,0.0,top
C117,-8.524986,53.333956,90.0,top
D101,-16.5,-16.38,180.0,top
D102,-16.5,-19.5,0.0,top
D103,16.5,-16.38,0.0,top
D104,16.5,-19.5,180.0,top
L103,-9.8,19.96,90.0,top
L104,9.8,19.96,90.0,top
R101,-21.064,10.422,270.0,top
R102,21.066,10.422,90.0,top
R103,-17.316,8.063,180.0,top
R104,16.766,7.226,0.0,top
R105,-19.366,8.063,180.0,top
R106,19.366,8.063,0.0,top
R107,-6.002029,50.69021,0.0,top
U101,-18.066,10.563,0.0,top
U102,18.066,10.563,180.0,top
U103,-24.1,-16.38,0.0,top
U104,24.85,-16.38,0.0,top
U105,-6.0,53.461362,90.0,top
U106,-0.8,-19.5,90.0,top
U107,-0.8,62.0,90.0,top
U108,-0.8,52.0,90.0,top
U109,-0.8,24.5,90.0,top
U110,-0.8,14.5,90.0,top
U111,17.5,0.0,0.0,top
U112,-17.5,0.0,0.0,top
U113,-0.8,-57.0,90.0,top
